key,term,definition,same_as,uri
grc-Latn,"Greek (ancient, in Latin characters)","The ancient greek language, rendered in the roman writing system (i.e., latin characters).",,https://pleiades.stoa.org/vocabularies/ancient-name-languages/grc-Latn
el,Greek (modern),"The modern Greek language, rendered in its standard writing system.",,https://pleiades.stoa.org/vocabularies/ancient-name-languages/el
gu,Gujarati,The Gujarati language written in its standard writing system.,,https://pleiades.stoa.org/vocabularies/ancient-name-languages/gu
hbo,Hebrew (ancient),"The ancient Hebrew language, rendered in its standardized writing system",,https://pleiades.stoa.org/vocabularies/ancient-name-languages/hbo
he,Hebrew (modern),"The modern Hebrew language, rendered in its standardized writing system",,https://pleiades.stoa.org/vocabularies/ancient-name-languages/he
hi,Hindi,From ISO 639-3 (TAVO abbrev: hi),,https://pleiades.stoa.org/vocabularies/ancient-name-languages/hi
hit,Hittite,From ISO 639-3 (TAVO abbrev: het),,https://pleiades.stoa.org/vocabularies/ancient-name-languages/hit
hu,Hungarian,From ISO 639-3 (TAVO abbrev: ung),,https://pleiades.stoa.org/vocabularies/ancient-name-languages/hu
xhu,Hurrian,From ISO 639-3 (TAVO abbrev: hur),,https://pleiades.stoa.org/vocabularies/ancient-name-languages/xhu
xib,Iberian,The Iberian language as defined by the IANA Language Subtag Registry.,,https://pleiades.stoa.org/vocabularies/ancient-name-languages/xib
ga,Irish,"The Irish language, rendered in its standard writing system (Latin characters) as registered in the IANA Language Subtag Registry",,https://pleiades.stoa.org/vocabularies/ancient-name-languages/ga
it,Italian,"The Italian language, rendered in its standard writing system",,https://pleiades.stoa.org/vocabularies/ancient-name-languages/it
kk,Kazakh,The Kazakh language written in the Cyrillic writing system.,,https://pleiades.stoa.org/vocabularies/ancient-name-languages/kk
km,Khmer,"The Khmer language, rendered in its standard writing system.",,https://pleiades.stoa.org/vocabularies/ancient-name-languages/km
ku,Kurdish,From ISO 639-3 (TAVO abbrev: ku),,https://pleiades.stoa.org/vocabularies/ancient-name-languages/ku
la,Latin,"The Latin language, rendered in its standard writing system.",,https://pleiades.stoa.org/vocabularies/ancient-name-languages/la
la-Grek,Latin in Greek Characters,"The Latin language, rendered in the Greek writing system.",,https://pleiades.stoa.org/vocabularies/ancient-name-languages/la-Grek
xlc,Lycian,From ISO 639-3 (TAVO abbrev: ly),,https://pleiades.stoa.org/vocabularies/ancient-name-languages/xlc
mk,Macedonian,"The Macedonian language, written in the Cyrillic writing system, as registered in the IANA Language Subtag Registry.",,https://pleiades.stoa.org/vocabularies/ancient-name-languages/mk
ml,Malayalam,The Malayalam language written in its standard writing system.,,https://pleiades.stoa.org/vocabularies/ancient-name-languages/ml
mt,Maltese,"The Maltese language in its standard writing system, as described at https://en.wikipedia.org/wiki/Maltese_language. A Semitic language and the co-official language of Malta, alongside English.",,https://pleiades.stoa.org/vocabularies/ancient-name-languages/mt
xmr,Meroitic,From ISO 639-3 (TAVO abbrev: me),,https://pleiades.stoa.org/vocabularies/ancient-name-languages/xmr
xmn,Middle Persian,From ISO 639-3 (TAVO abbrev: mpe),,https://pleiades.stoa.org/vocabularies/ancient-name-languages/xmn
heb,Modern Hebrew,From ISO 639-3 (TAVO abbrev: nhe),,https://pleiades.stoa.org/vocabularies/ancient-name-languages/heb
gmy,Mycenaean Greek,The Greek language as known through Linear B texts from the Mycenaean period,,https://pleiades.stoa.org/vocabularies/ancient-name-languages/gmy
qhy-nor,Nabataean,From LINGUIST list (TAVO abbrev: na),,https://pleiades.stoa.org/vocabularies/ancient-name-languages/qhy-nor
None,None (from GANE),A non-standard language code that came in with TAVO+GANE data. It should not be reused on new content items.,,https://pleiades.stoa.org/vocabularies/ancient-name-languages/None
fro,Old French,From ISO 639-3 (TAVO abbrev: afr),,https://pleiades.stoa.org/vocabularies/ancient-name-languages/fro
xna,Old North Arabian,From ISO 639-3 (TAVO abbrev: aln),,https://pleiades.stoa.org/vocabularies/ancient-name-languages/xna
osar,Old South Arabian,From ISO 639-3 (TAVO abbrev: al),,https://pleiades.stoa.org/vocabularies/ancient-name-languages/osar
ota,Ottoman Turkish,From ISO 639-3 (TAVO abbrev: os),,https://pleiades.stoa.org/vocabularies/ancient-name-languages/ota
grc-pam,Pamphylic,From LINGUIST list (TAVO abbrev: pam),,https://pleiades.stoa.org/vocabularies/ancient-name-languages/grc-pam
ps,Pashto,From ISO 639-3 (TAVO abbrev: pa),,https://pleiades.stoa.org/vocabularies/ancient-name-languages/ps
fa,Persian (modern),"The Persian (Pārsi) language, written in its conventional, standard script.",,https://pleiades.stoa.org/vocabularies/ancient-name-languages/fa
peo,"Persian, Old (ca. 600-400 B.C.)",The Old Persian language written in Old Persian cuneiform script as described in http://en.wikipedia.org/wiki/Old_Persian,,https://pleiades.stoa.org/vocabularies/ancient-name-languages/peo
phn,Phoenician,From ISO 639-3 (TAVO abbrev: phö),,https://pleiades.stoa.org/vocabularies/ancient-name-languages/phn
pl,Polish,From ISO 639-3 (TAVO abbrev: pol),,https://pleiades.stoa.org/vocabularies/ancient-name-languages/pl
pt,Portuguese,"The Portuguese language, rendered in its standard writing system",,https://pleiades.stoa.org/vocabularies/ancient-name-languages/pt
pa,Punjabi,The Punjabi language written in the Gurmukhi script,,https://pleiades.stoa.org/vocabularies/ancient-name-languages/pa
ro,Romanian,From ISO 639-3 (TAVO abbrev: rum),,https://pleiades.stoa.org/vocabularies/ancient-name-languages/ro
ru,Russian,From ISO 639-3 (TAVO abbrev: rus),,https://pleiades.stoa.org/vocabularies/ancient-name-languages/ru
sa,Sanskrit,From ISO 639-3 (TAVO abbrev: sa),,https://pleiades.stoa.org/vocabularies/ancient-name-languages/sa
sa-Brah,Sanskrit (in Brahmi),"The ancient Sanskrit language, rendered in the Brahmi writing system.",,https://pleiades.stoa.org/vocabularies/ancient-name-languages/sa-Brah
sa-Deva,Sanskrit (in Devanagari),"The ancient Sanskrit language, rendered in the Devanagari writing system.",,https://pleiades.stoa.org/vocabularies/ancient-name-languages/sa-Deva
sa-Khmr,Sanskrit (in Khmer),"The Sanskrit language, rendered in the Khmer writing system.",,https://pleiades.stoa.org/vocabularies/ancient-name-languages/sa-Khmr
sa-Nand,Sanskrit (in Nandinagari),"The ancient Sanskrit language, rendered in the Nandinagari writing system.",,https://pleiades.stoa.org/vocabularies/ancient-name-languages/sa-Nand
sr-Cyrl,Serbian (in Cyrillic characters),"The Serbian language, rendered in the Cyrillic writing system.",,https://pleiades.stoa.org/vocabularies/ancient-name-languages/sr-Cyrl
sr-Latn,Serbian (in Latin characters),"The Serbian language, rendered in the Latin writing system.",,https://pleiades.stoa.org/vocabularies/ancient-name-languages/sr-Latn
sh,Serbo-Croatian,From ISO 639-3 (TAVO abbrev: sk),,https://pleiades.stoa.org/vocabularies/ancient-name-languages/sh
sd,Sindhi,From ISO 639-3 (TAVO abbrev: si),,https://pleiades.stoa.org/vocabularies/ancient-name-languages/sd
si,Sinhala,"The Sinhala language, written in its standard writing system.",,https://pleiades.stoa.org/vocabularies/ancient-name-languages/si
sk,Slovak,"The Slovak language written in its standard writing system (i.e., Roman characters)",,https://pleiades.stoa.org/vocabularies/ancient-name-languages/sk
sl,Slovene,"The Slovene language (Slovenian) is a South Slavic language, as described in https://en.wikipedia.org/wiki/Slovene_language",,https://pleiades.stoa.org/vocabularies/ancient-name-languages/sl
so,Somali,From ISO 639-3 (TAVO abbrev: so),,https://pleiades.stoa.org/vocabularies/ancient-name-languages/so
es,Spanish,"The Spanish language, rendered in its standard writing system",,https://pleiades.stoa.org/vocabularies/ancient-name-languages/es
sux,Sumerian,"The ancient Sumerian language, rendered in its customary writing system (i.e., cuneiform).",,https://pleiades.stoa.org/vocabularies/ancient-name-languages/sux
sw,Swahili,"The Swahili language, written in Latin script (Roman characters)",,https://pleiades.stoa.org/vocabularies/ancient-name-languages/sw
syr,Syriac,"The Syriac language, written in its traditional script.",,https://pleiades.stoa.org/vocabularies/ancient-name-languages/syr
tg-Cyrl,Tajik (in Cyrillic characters),The Tajik language written in Cyrillic characters,,https://pleiades.stoa.org/vocabularies/ancient-name-languages/tg-Cyrl
ta,Tamil,"The modern Tamil language, rendered in its default writing system, as defined by the IANA Language Subtag Registry.",,https://pleiades.stoa.org/vocabularies/ancient-name-languages/ta
tr,Turkish,"The Turkish language, rendered in its standard writing system.",,https://pleiades.stoa.org/vocabularies/ancient-name-languages/tr
tk-Latn,Turkmen,"The modern Turkmen language, written in the Roman (Turkmen) system.",,https://pleiades.stoa.org/vocabularies/ancient-name-languages/tk-Latn
uga,Ugaritic,"The ancient Ugaritic language, written in its native script, as defined by the IANA Language Subtag Registry.",,https://pleiades.stoa.org/vocabularies/ancient-name-languages/uga
uk,Ukrainian,The Ukrainian language rendered in its standard writing system (Cyrillic).,,https://pleiades.stoa.org/vocabularies/ancient-name-languages/uk
xur,Urartian,From ISO 639-3 (TAVO abbrev: ura),,https://pleiades.stoa.org/vocabularies/ancient-name-languages/xur
ur,Urdu,From ISO 639-3 (TAVO abbrev: ur),,https://pleiades.stoa.org/vocabularies/ancient-name-languages/ur
ug,Uyghur,"The modern Uyghur language, written in its official (Arabic Uyghur) script.",,https://pleiades.stoa.org/vocabularies/ancient-name-languages/ug
uz,Uzbek,From ISO 639-3 (TAVO abbrev: us),,https://pleiades.stoa.org/vocabularies/ancient-name-languages/uz
uz-Cyrl,Uzbek (in Cyrillic characters),The Uzbek language written in Cyrillic characters,,https://pleiades.stoa.org/vocabularies/ancient-name-languages/uz-Cyrl
uz-Latn,Uzbek (in Latin characters),The Uzbek language written in Roman characters,,https://pleiades.stoa.org/vocabularies/ancient-name-languages/uz-Latn
cy,Welsh,"The Welsh language, written in Latin script, as defined by the IANA Language Subtag Registry",,https://pleiades.stoa.org/vocabularies/ancient-name-languages/cy
